brand,detail,detail_desc,goods_desc,goods_id,goods_title,pl_id,scj_price,title,url,weight,zp_price
一匠一品,安溪铁观音,"规格：50g*3盒,产地：福建省安溪县,食品生产许可证：SC11435052400961,采摘季节：秋季,工艺：正味,储藏方法：防异味、密封、冷藏,保质期：18个月,等级：特级,包装规格：长31.2cm*宽16.8cm*高9cm",新茶抢鲜上市,8703925,一匠一品 2018年秋茶 刘文品代表作 安溪铁观音  特级 150g 乌龙茶礼盒,12119,400.00元,乌龙茶,https://www.zuipin.cn/goods?id=8703925,150克,225.00元
文新,信阳毛尖,"规格：4g*32泡,净含量在：101-250克,生产年份：2018年4月,食品生产许可证：SC11441150200513,储藏方法：密封后存放于避光、低温、干燥、无异味处或冷藏,保质期：18个月,用途：送礼（精装礼盒）,包装规格：长25.2cm*宽10cm*高8.2cm",文新茶叶扛鼎之作,8701461,【付款后，7日内发货】文新 信阳毛尖 2018年明前茶 绿茶 特级 中原一号 128g 礼盒装,9929,2350.00元,绿茶,https://www.zuipin.cn/goods?id=8701461,128克,2350.00元
峨眉雪芽,四川绿茶,"规格：4g*63泡,产地：峨眉山,食品生产许可证：SC11451142300018,采摘季节：明前,储藏方法：避光、干燥、防异味、低温保存,保质期：18个月,包装规格：长29*宽17*高8.7cm",优选1%单芽 畅销10年,8699543,峨眉雪芽 四川绿茶 禅心 2018明前茶 绿茶  单盒252g,3286,1128.00元,绿茶,https://www.zuipin.cn/goods?id=8699543,252克,1128.00元
顶峰,龙井,"产地：浙江杭州,食品生产许可证：SC11433010603038,采摘季节：雨前,储藏方法：干燥、防潮、防晒、防异味（建议冷藏）,保质期：12个月,等级：三级",传统包装  拜访长辈手礼茶,8699872,顶峰 西湖龙井 2018年雨前茶 绿茶 三级250g AAA牛皮纸包,8074,230.00元,绿茶,https://www.zuipin.cn/goods?id=8699872,250克,230.00元
凰冠,其他红茶,"规格：5g*24袋,净含量在：101-250克,产地：云南普洱,食品生产许可证：SC11453082716393,采摘季节：春季,储藏方法：通风、干燥、避免阳光直射、无异味的环境,保质期：3年,等级：一级,包装规格：长37cm*宽15.4cm*高7.3cm",传统与时尚只是一念之间,6931246238001,凰冠 2018年云南红茶 四国认证有机茶 君·信系列有机红茶 120g 礼盒,12329,600.00元,红茶,https://www.zuipin.cn/goods?id=6931246238001,120克,600.00元
艾购,锡兰红茶,"规格：包装20.5*25*9.7cm,产地：斯里兰卡康提产区,食品生产许可证：SC11435052401501,储藏方法：阴凉干燥处，防辐射异味，开封后需密封保存,保质期：三年",锡兰进口红茶 组合礼品装,8683782-1,艾购 锡兰红茶  橙黄白毫1 Supreme 100g 蓝方罐+橙黄白毫1 Premium 125g 红方罐,3338,308.00元,红茶,https://www.zuipin.cn/goods?id=8683782-1,225克,288.00元
艾购,锡兰红茶,"规格：内装5g*18泡*小盒,产地：斯里兰卡,食品生产许可证：SC11435052401501,储藏方法：密封、干燥、防辐射异味,保质期：3年,包装规格：长15cm*宽9.4cm*高9.2cm",滋味浓厚甘醇,6931246236001,艾购锡兰红茶 努瓦勒埃利耶高山茶 90g 粉盒,12572,99.00元,红茶,https://www.zuipin.cn/goods?id=6931246236001,90克,99.00元
八桂凌云,凌云白毫红茶,"产地：广西百色市凌云县,食品生产许可证：SC11445102700492,储藏方法：于干燥通风无异味处保存,保质期：36个月,等级：特级,包装规格：长36cm*宽24cm*高9cm",只挑选 早春单芽,8699600,【有机茶】八桂凌云 白毫红茶 雾中缘金毫 180g   特级,3296,960.00元,红茶,https://www.zuipin.cn/goods?id=8699600,180克,960.00元
芯仙茗堂,云南滇红,"规格：5g*20泡,产地：云南省临沧市双江县,食品生产许可证：SC11453092516086,采摘季节：春季,储藏方法：干燥、密封、阴凉、防异味,保质期：36个月,等级：一级,包装规格：长20cm*宽14cm*高6cm",滇红工艺与乌龙茶结合,8703894,芯仙茗堂 云南滇红 青春系列 芯滇红茶 2018年春茶 一级 100g,12246,216.00元,红茶,https://www.zuipin.cn/goods?id=8703894,100克,216.00元
祥源,祁门红茶,"规格：90g/罐,产地：安徽黄山市,食品生产许可证：SC11434102405068,采摘季节：春季,储藏方法：于清洁、干燥、阴凉、无异味处,保质期：36个月,等级：一级",核心选料，清润花香,8700941,祥源 祁红毛峰 2018年新茶 红茶 一级 90g 单罐,9456,98.00元,红茶,https://www.zuipin.cn/goods?id=8700941,90克,98.00元
